ID,Source,Author(s),Year,Title,Spatial questions
1,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the houses for sale in Utrecht?
2,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,Where are the houses for sale and built between 1990 and 2000 in Utrecht?
3,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What houses are for sale and within 500m from a main road in Utrecht?
4,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What houses are for sale and within 1km from the nearest school in Utrecht?
5,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What houses are for sale and within 1km from the nearest supermarket in Utrecht?
6,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What houses are for sale in urban areas in Utrecht?
7,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What houses are for sale in neighborhoods with low crime rates in Utrecht?
8,Competency questions,<MASKED>,2012,IAOA Summer Institute on Places and Things,What houses are for sale and near to parks in Utrecht?
9,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the 5-star hotels in the Happy Valley ski resort?
10,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the shops that open at 18:00 in Happy Valley ski resort?
11,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the cafes in forested areas in Happy Valley ski resort?
12,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the ski pistes in Happy Valley ski resort?
13,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where is the most popular ski piste in Happy Valley ski resort?
14,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where is the longest ski piste in Happy Valley ski resort?
15,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the longest ski piste’s start and end positions in Happy Valley ski resort?
16,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the hotel within 300 m from the longest ski piste in Happy Valley ski resort?
17,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,where is the neighborhood that has the highest crime rate in Amsterdam?
18,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What are the locations of individual crimes in Amsterdam?
19,Competency questions,<MASKED>,2020,IAOA Summer Institute on Places and Things,where is the neighborhood that has the highest robbery rate in Amsterdam?
20,Competency questions,<MASKED>,2021,IAOA Summer Institute on Places and Things,where is the neighborhood that has the highest arson rate in Amsterdam?
21,Competency questions,<MASKED>,2022,IAOA Summer Institute on Places and Things,where is the neighborhood that has the highest burglary rate in Amsterdam?
22,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,"For a neighborhood, how did the crime rate change from last year to this year in Amsterdam?"
23,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What are the locations of fire stations in Fort Worth ?
24,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What buildings are within 1 minute of driving time from a fire station in Fort Worth ?
25,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What buildings are within 2 minutes but not within 1 minute of driving time from a fire station in Fort Worth ?
26,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What schools are not within 3 minutes of driving time from a fire station in Fort Worth?
27,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Which fire station is nearest to an incident call at a given location in Fort Worth?
28,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where did the hurricane form in Oleander?
29,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where did the hurricane dissipate in Oleander?
30,Competency questions,<MASKED>,2020,IAOA Summer Institute on Places and Things,What was the trajectory of a hurricane in Oleander?
31,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where was the most intense hurricane in Oleander?
32,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where was the fastest hurricane in Oleander?
33,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,How many buildings are affected by a hurricane in Oleander?
34,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What types of buildings are mostly affected by a hurricane in Oleander?
35,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,How many people are affected by a hurricane in Oleander?
36,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the rocky areas in Spain?
37,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas do have slope larger than 10% in Spain?
38,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas do have altitudes between 700 and 2000 meters in Spain?
39,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas do have an annual minimum temperature greater than 0 degrees in Spain?
40,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas do have low precipitation and humidity in Spain?
41,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas are at least 3km away from the river in Spain?
42,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,What areas are far away from the road network in Spain?
43,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where is the distribution area of little midwife toad in Spain?
44,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the industrial areas in Utrecht?
45,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where is the biggest park in Utrecht?
46,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are freeways with 4 lanes in Netherlands?
47,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Where are the freeways with traffic jams during rush hours in Netherlands?
48,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Which cities do have highest crime rate in Netherlands?
49,Competency questions,<MASKED>,2019,IAOA Summer Institute on Places and Things,Which neighborhood has the highest population density in Netherlands?
50,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,Where is a suitable site for the disposal of radioactive waste in UK?
51,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas do have suitable geology for nuclear waste in UK?
52,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas do not have groundwater and natural resources beneath in UK?
53,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas do have low population density in UK?
54,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas do have a population density of 300 persons per square kilometer or less in UK?
55,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas are accessible in UK??
56,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas are minimum 3km and maximum 5km away from the nearest road in UK??
57,Competency questions,<MASKED>,2011,IAOA Summer Institute on Places and Things,What areas are not within conservation areas in UK?
58,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,Where are houses that have no plumbing?
59,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,What is the condition of the water treatment plant at 270 Fleet?
60,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,"Which is the best way to send the recycling truck, given these pickup points?"
61,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,Which emergency vehicle is closest to the accident?
62,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,What is the pattern of public spending in areas where the majority of residents are African American?
63,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,Do more commercial buildings in earth-quake zones meet quake proofing specification than five years ago?
64,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,"At this rate, how long will it be before 99 percent of all commercial buildings meet specifications in the Netherlands?"
65,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,What would be the economic impact if development were restricted within 100 yards of the river?
66,GIS textbook,<MASKED>,2000,Beyond maps: GIS and decision making in local government,What is the best site for the new landfill?
67,GIS textbook,<MASKED>,2013,Cartography: visualization of spatial data (3rd edt),"What is the relationship between the local microclimate, local factories, and the social structure of surrounding neighborhoods?"
68,GIS textbook,<MASKED>,2013,Cartography: visualization of spatial data (3rd edt),What will be the need to adapt to the local public transport network and its capacity when a new neighborhood is built north of the town?
69,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where are areas of forestry in Europe in which Norwegian Spruce trees can be found?
70,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where do high concentrations of students live in Utrecht?
71,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where have glaciers retreated in the European Alps?
72,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where have changes to the population of polar bears occurred?
73,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"Where are there over 10,000 potential customers within a 5-mile radius of a railway station?"
74,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"If we build a new theme park here, what will be the effect on traffic flows?"
75,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"What would be the time saving if we delivered our parcels using this route, rather than an alternative?"
76,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What will be the long-term consequences of farming and forestry for the conservation area in Zdarske Vrchy?
77,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where should landscape conservation zones be established in Zdarske Vrchy?
78,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where are stone age settlements located in Europe?
79,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where are all the fire stations in Utrecht?
80,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where can I find holiday accommodation that is within 1 km of a wind surfing beach and accessible by public transport in Italy?
81,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where is there flat land within 500 m of a major highway in the United Kingdom?
82,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the flow of traffic along A28 motorway?
83,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),How are patterns of retailing changing in response to the development of out-of-town superstores in the US?
84,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"If I move to a new home in Ina Boudier-Bakkerlaan 1 3483VA Utrecht, how far will I be from the office, gym or coffee shop?"
85,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where is the proposed wind farm location?
86,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where is the region in which the store will be located?
87,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the pattern of land use in Netherlands?
88,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the flows of traffic along major routes in this area?
89,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),How has land use changed over the last 20 years?
90,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Which towns in the area have experienced the greatest population growth in recent years?
91,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"Where is there an area of privately owned land of a suitable size, with adequate access from an existing road?"
92,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"Where is the area of commercially zoned land, close to major transport routes and with a potential catchment of over 10000 customers?"
93,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"If we located the wind farm here, from where would it be visible?"
94,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"If we locate a store here, what would be the impact on our closest existing store?"
95,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),How many luxury hotels are there in Happy Valley ski resort?
96,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where are the luxury hotels with more than 20 bedrooms in Happy Valley ski resort?
97,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where are the areas of forestry land in Happy Valley ski resort?
98,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Which hotels are within 200 m of a main road in Happy Valley ski resort??
99,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),In which land use types are the meteorological stations located?
100,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Which roads should be used for a scenic forest drive?
101,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the predominant land use type in the Happy Valley resort?
102,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where could a new ski piste be located?
103,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the predicted snowfall for the new ski piste?
104,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What would be the quickest route by road from the center of the resort to this new ski piste?
105,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What are the slope and aspect of the new ski piste?
106,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),From where will the new ski piste be visible?
107,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the relationship between hotel room prices and proximity to ski lift stations in the Happy Valley resort?
108,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the quickest route for the ski bus to pick up 5 sets of customers scattered across the Happy Valley resort?
109,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"Which ski pistes are in the avalanche danger zones given recordings of snow depth, surface temperature, snow water content and snow strength?"
110,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the pattern of accidents on ski pistes?
111,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What visitor facilities are located in the Happy Valley?
112,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the effect of road widening on surrounding land uses?
113,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What will be the long-term consequences of continuing recreational activity for the landscape?
114,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where will damage from acid rain occur if a particular industrial plant continues to operate?
115,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where should landscape conservation zones be established?
116,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),Where is the best location for the re-introduction of certain bird species?
117,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What landscape locations are likely to retain water given topography?
118,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What is the estimated casualty from a tsunami given affected coastlines in high-resolution satellite imagery?
119,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),"What are the areas covered by cameras in Salford, England?"
120,GIS textbook,<MASKED>,2011,An introduction to geographical information systems (4th edt),What are the locations of potential bus stops that maximize the overall population catchment area?
121,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What are the zoning categories in Utrecht?
122,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which trees are ready to be harvested given tree age?
123,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What political parties are favored in different counties of the United States?
124,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the crime distribution in Amsterdam in 2018?
125,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where is a suitable place for opening a bank based on the mean center of customers?
126,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which bank branch is suitable to schedule a meeting based on the mean center of employees?
127,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where is a suitable place to build three library branches in Oleander city?
128,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which areas are not serviced by libraries in Oleander?
129,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where are suitable places for building a fire station that can quickly respond to the highest-priority calls in Fort Worth?
130,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where does the Fort Worth police department assign a specific task force to deal with the most dangerous crimes?
131,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where is a suitable place to open an office that is nearest to their best customers?
132,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Where is a suitable place to schedule meetings can be closest to most employees?
133,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Which police stations are making more runs outside of their normal alarm territory in Fort Worth?
134,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the distribution of West Nile Virus in US?
135,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,Do freeways have directional influence on fire responses of fire stations in Fort Worth?
136,GIS textbook,<MASKED>,2016,GIS tutorial 2: spatial analysis workbook,What is the directional trend in crimes in Fort Worth?
